job_id,voyage,machine_id,op_seq,rute,layer_id,A_lj,p_lj,TSail_lj,ship_name
0,2,0,0,default,0,93.0,10.0,13.0,KFC.JETLINER
0,2,1,1,default,0,116.0,2.0,13.0,KFC.JETLINER
0,2,0,2,default,1,131.0,6.0,13.0,KFC.JETLINER
0,2,1,3,default,1,150.0,2.0,13.0,KFC.JETLINER
0,2,0,4,default,2,165.0,2.0,8.0,KFC.JETLINER
0,2,2,5,default,2,175.0,1.0,8.0,KFC.JETLINER
0,2,0,6,default,3,184.0,2.0,13.0,KFC.JETLINER
0,2,1,7,default,3,199.0,2.0,13.0,KFC.JETLINER
0,2,0,8,default,4,214.0,19.0,13.0,KFC.JETLINER
0,2,1,9,default,4,246.0,2.0,13.0,KFC.JETLINER
1,1,6,0,default,0,172.0,10.0,27.0,KM.AWU
1,1,4,1,default,0,209.0,7.0,27.0,KM.AWU
1,1,7,2,default,0,243.0,6.0,21.0,KM.AWU
1,1,8,3,default,0,270.0,2.0,14.0,KM.AWU
1,1,9,4,default,0,286.0,3.0,9.0,KM.AWU
1,1,10,5,default,0,298.0,2.0,13.0,KM.AWU
1,1,11,6,default,0,313.0,4.0,13.0,KM.AWU
1,1,12,7,default,0,330.0,22.0,13.0,KM.AWU
1,1,11,8,default,1,365.0,4.0,13.0,KM.AWU
1,1,10,9,default,1,382.0,3.0,9.0,KM.AWU
1,1,9,10,default,1,394.0,3.0,14.0,KM.AWU
1,1,8,11,default,1,411.0,3.0,21.0,KM.AWU
1,1,7,12,default,1,435.0,6.0,28.0,KM.AWU
1,1,4,13,default,1,469.0,5.0,28.0,KM.AWU
1,2,6,0,default,1,502.0,30.0,27.0,KM.AWU
1,2,4,1,default,2,559.0,7.0,27.0,KM.AWU
1,2,7,2,default,2,593.0,6.0,21.0,KM.AWU
1,2,8,3,default,2,620.0,2.0,14.0,KM.AWU
1,2,9,4,default,2,636.0,3.0,9.0,KM.AWU
1,2,10,5,default,2,648.0,2.0,13.0,KM.AWU
1,2,11,6,default,2,663.0,4.0,13.0,KM.AWU
1,2,12,7,default,2,680.0,7.0,13.0,KM.AWU
1,2,11,8,default,3,700.0,4.0,13.0,KM.AWU
1,2,10,9,default,3,717.0,2.0,9.0,KM.AWU
1,2,9,10,default,3,728.0,3.0,14.0,KM.AWU
1,2,8,11,default,3,745.0,2.0,21.0,KM.AWU
1,2,7,12,default,3,768.0,6.0,28.0,KM.AWU
1,2,4,13,default,3,802.0,4.0,28.0,KM.AWU
1,2,6,14,default,3,834.0,3.0,61.0,KM.AWU
1,3,5,0,default,3,898.0,660.0,19.0,KM.AWU
1,3,4,1,default,4,1577.0,17.0,28.0,KM.AWU
1,3,7,2,default,4,1622.0,6.0,21.0,KM.AWU
1,3,8,3,default,4,1649.0,3.0,14.0,KM.AWU
1,3,9,4,default,4,1666.0,3.0,9.0,KM.AWU
1,3,10,5,default,4,1678.0,2.0,13.0,KM.AWU
1,3,11,6,default,4,1693.0,3.0,13.0,KM.AWU
1,3,12,7,default,4,1709.0,2.0,13.0,KM.AWU
2,1,7,0,B,0,66.0,22.0,23.0,KM.BINAIYA
2,1,8,1,B,0,111.0,2.0,8.0,KM.BINAIYA
